model,game,framing,run_id,round,llm_number,random_numbers,mean,target,winner_number,llm_won,payoff,raw_response,temperature,num_players,num_rounds
claude-haiku,beauty_contest,competitive,1,3,33,85|48|86|95,69.4,46.2667,48,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,1,4,33,22|78|72|38,48.6,32.4,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,1,5,33,51|70|0|38,38.4,25.6,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,2,1,33,36|26|55|100,50.0,33.3333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,2,2,33,74|77|83|41,61.6,41.0667,41,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,2,3,33,59|56|56|86,58.0,38.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,2,4,33,27|65|60|94,55.8,37.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,2,5,33,21|84|10|36,36.8,24.5333,21,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,3,1,33,65|84|81|79,68.4,45.6,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,3,2,33,42|11|96|30,42.4,28.2667,30,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,3,3,33,86|39|28|25,42.2,28.1333,28,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,3,4,33,18|3|5|31,18.0,12.0,18,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,3,5,33,60|78|98|9,55.6,37.0667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,4,1,33,58|53|80|73,59.4,39.6,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,4,2,33,24|91|89|49,57.2,38.1333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,4,3,33,63|51|31|18,39.2,26.1333,31,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,4,4,33,83|88|0|96,60.0,40.0,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,4,5,33,98|13|99|54,59.4,39.6,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,5,1,33,28|22|89|66,47.6,31.7333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,5,2,33,59|6|71|31,40.0,26.6667,31,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,5,3,33,15|58|17|59,36.4,24.2667,17,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,5,4,33,85|67|71|76,66.4,44.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,5,5,33,40|96|56|78,60.6,40.4,40,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,6,1,33,92|64|54|70,62.6,41.7333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,6,2,33,57|20|95|60,53.0,35.3333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,6,3,33,57|33|96|31,50.0,33.3333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,6,4,33,81|35|98|99,69.2,46.1333,35,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,6,5,33,66|62|80|30,54.2,36.1333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,7,1,33,35|56|9|91,44.8,29.8667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,7,2,33,36|30|34|42,35.0,23.3333,30,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,7,3,33,40|69|10|17,33.8,22.5333,17,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,7,4,33,19|29|49|88,43.6,29.0667,29,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,7,5,33,19|90|27|8,35.4,23.6,27,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,8,1,33,53|52|42|69,49.8,33.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,8,2,33,59|53|7|26,35.6,23.7333,26,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,8,3,33,53|49|98|74,61.4,40.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,8,4,33,89|2|97|73,58.8,39.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,8,5,33,48|61|0|45,37.4,24.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,9,1,33,38|96|49|53,53.8,35.8667,38,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,9,2,33,68|95|94|69,71.8,47.8667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,9,3,33,77|28|62|28,45.6,30.4,28,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,9,4,33,34|55|62|3,37.4,24.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,9,5,33,49|43|85|86,59.2,39.4667,43,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,10,1,33,51|92|21|59,51.2,34.1333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,10,2,33,16|79|68|3,39.8,26.5333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,10,3,33,50|75|72|84,62.8,41.8667,50,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,10,4,33,3|10|82|54,36.4,24.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,10,5,33,17|59|23|6,27.6,18.4,17,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,11,1,33,33|48|41|27,36.4,24.2667,27,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,11,2,33,58|41|43|97,54.4,36.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,11,3,33,48|35|96|53,53.0,35.3333,35,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,11,4,33,32|10|60|2,27.4,18.2667,10,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,11,5,33,95|69|6|44,49.4,32.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,12,1,33,28|83|8|99,50.2,33.4667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,12,2,33,83|5|96|3,44.0,29.3333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,12,3,33,31|25|2|79,34.0,22.6667,25,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,12,4,33,19|30|16|60,31.6,21.0667,19,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,12,5,33,85|14|72|27,46.2,30.8,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,13,1,33,59|89|32|98,62.2,41.4667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,13,2,33,47|21|77|77,51.0,34.0,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,13,3,33,95|91|14|99,66.4,44.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,13,4,33,20|39|13|74,35.8,23.8667,20,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,13,5,33,3|39|73|86,46.8,31.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,14,1,33,48|50|91|25,49.4,32.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,14,2,33,9|75|88|80,57.0,38.0,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,14,3,33,31|13|89|98,52.8,35.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,14,4,33,38|87|76|15,49.8,33.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,14,5,33,72|100|5|44,50.8,33.8667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,15,1,33,68|54|84|47,57.2,38.1333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,15,2,33,8|64|82|43,46.0,30.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,15,3,33,1|53|62|13,32.4,21.6,13,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,15,4,33,55|46|81|58,54.6,36.4,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,15,5,33,90|19|55|22,43.8,29.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,16,1,33,93|66|83|34,61.8,41.2,34,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,16,2,33,78|68|99|61,67.8,45.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,16,3,33,59|55|93|75,63.0,42.0,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,16,4,33,34|41|31|11,30.0,20.0,11,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,16,5,33,35|57|31|96,50.4,33.6,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,17,1,33,59|72|78|85,65.4,43.6,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,17,2,33,48|43|3|63,38.0,25.3333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,17,3,33,41|23|62|27,37.2,24.8,23,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,17,4,33,45|33|43|35,37.8,25.2,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,17,5,33,76|89|35|71,60.8,40.5333,35,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,18,1,33,1|66|24|10,26.8,17.8667,24,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,18,2,33,30|92|52|62,53.8,35.8667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,18,3,33,71|97|30|88,63.8,42.5333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,18,4,33,60|82|91|62,65.6,43.7333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,18,5,33,57|2|11|37,28.0,18.6667,11,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,19,1,33,28|51|88|31,46.2,30.8,31,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,19,2,33,39|84|74|47,55.4,36.9333,39,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,19,3,33,60|70|67|44,54.8,36.5333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,19,4,33,54|95|70|42,58.8,39.2,42,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,19,5,33,45|89|58|34,51.8,34.5333,34,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,20,1,33,39|32|29|15,29.6,19.7333,15,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,20,2,33,92|24|40|15,40.8,27.2,24,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,20,3,33,95|68|97|88,76.2,50.8,68,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,20,4,33,23|24|27|94,40.2,26.8,27,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,20,5,33,61|35|92|75,59.2,39.4667,35,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,21,1,33,97|67|76|36,61.8,41.2,36,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,21,2,33,12|24|37|29,27.0,18.0,12,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,21,3,33,46|22|38|1,28.0,18.6667,22,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,21,4,33,90|68|16|35,48.4,32.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,21,5,33,5|6|70|37,30.2,20.1333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,22,1,33,89|16|81|96,63.0,42.0,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,22,2,33,62|13|1|73,36.4,24.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,22,3,33,36|60|61|56,49.2,32.8,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,22,4,33,43|23|6|32,27.4,18.2667,23,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,22,5,33,61|14|8|51,33.4,22.2667,14,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,23,1,33,62|9|73|80,51.4,34.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,23,2,33,87|6|19|19,32.8,21.8667,19,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,23,3,33,72|38|10|31,36.8,24.5333,31,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,23,4,33,15|71|97|53,53.8,35.8667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,23,5,33,77|76|79|28,58.6,39.0667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,24,1,33,99|66|48|57,60.6,40.4,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,24,2,33,56|38|75|54,51.2,34.1333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,24,3,33,39|72|79|7,46.0,30.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,24,4,33,78|94|12|97,62.8,41.8667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,24,5,33,26|80|27|33,39.8,26.5333,27,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,25,1,33,84|10|20|30,35.4,23.6,20,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,25,2,33,22|70|9|20,30.8,20.5333,20,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,25,3,33,0|52|57|88,46.0,30.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,25,4,33,76|60|37|4,42.0,28.0,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,25,5,33,29|36|90|36,44.8,29.8667,29,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,26,1,33,89|58|9|87,55.2,36.8,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,26,2,33,29|33|100|80,55.0,36.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,26,3,33,75|84|25|54,54.2,36.1333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,26,4,33,14|69|28|82,45.2,30.1333,28,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,26,5,33,19|34|18|9,22.6,15.0667,18,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,27,1,33,7|21|39|76,35.2,23.4667,21,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,27,2,33,95|72|36|56,58.4,38.9333,36,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,27,3,33,15|59|88|38,46.6,31.0667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,27,4,33,89|51|34|64,54.2,36.1333,34,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,27,5,33,69|63|56|10,46.2,30.8,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,28,1,33,76|5|55|94,52.6,35.0667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,28,2,33,41|77|32|3,37.2,24.8,32,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,28,3,33,11|29|86|73,46.4,30.9333,29,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,28,4,33,75|2|97|86,58.6,39.0667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,28,5,33,34|73|5|97,48.4,32.2667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,29,1,33,96|22|60|66,55.4,36.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,29,2,33,83|56|35|23,46.0,30.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,29,3,33,74|55|81|62,61.0,40.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,29,4,33,11|60|44|52,40.0,26.6667,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,29,5,33,42|41|85|13,42.8,28.5333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,30,1,33,20|42|52|88,47.0,31.3333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,30,2,33,63|36|84|51,53.4,35.6,36,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,30,3,33,97|70|4|58,52.4,34.9333,33,1,1,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,30,4,33,11|40|32|41,31.4,20.9333,11,0,0,[DRY RUN],0.7,5,5
claude-haiku,beauty_contest,competitive,30,5,33,14|98|51|65,52.2,34.8,33,1,1,[DRY RUN],0.7,5,5
